country,year,value,region,indicator
SVK,2003,1.2,Europe,MDG_0000000017
BLR,2016,4.1,Europe,MDG_0000000017
NGA,2006,58,Africa,MDG_0000000017
NER,2007,28,Africa,MDG_0000000017
ISL,2011,0.8,Europe,MDG_0000000017
TJK,2014,9.5,Europe,MDG_0000000017
SUR,2023,1.5,Americas,MDG_0000000017
BOL,2017,11,Americas,MDG_0000000017
NGA,2007,56,Africa,MDG_0000000017
CUB,2013,0.41,Americas,MDG_0000000017
MDV,2004,0.92,South-East Asia,MDG_0000000017
LTU,2023,3.9,Europe,MDG_0000000017
LAO,2007,77,Western Pacific,MDG_0000000017
ATG,2003,1.3,Americas,MDG_0000000017
ARM,2013,3.6,Europe,MDG_0000000017
POL,2004,2.4,Europe,MDG_0000000017
TON,2010,1,Western Pacific,MDG_0000000017
TZA,2020,31,Africa,MDG_0000000017
LCA,2004,3.5,Americas,MDG_0000000017
CRI,2016,0.67,Americas,MDG_0000000017
MOZ,2022,15,Africa,MDG_0000000017
BIH,2019,2.8,Europe,MDG_0000000017
ZWE,2004,28,Africa,MDG_0000000017
TON,2023,0.72,Western Pacific,MDG_0000000017
MNG,2015,11,Western Pacific,MDG_0000000017
CPV,2018,4.3,Africa,MDG_0000000017
IDN,2013,41,South-East Asia,MDG_0000000017
BRB,2006,0.95,Americas,MDG_0000000017
PAN,2006,5.3,Americas,MDG_0000000017
SEN,2020,18,Africa,MDG_0000000017
THA,2015,14,South-East Asia,MDG_0000000017
KEN,2000,41,Africa,MDG_0000000017
NGA,2005,61,Africa,MDG_0000000017
ARE,2020,0.67,Eastern Mediterranean,MDG_0000000017
MWI,2009,32,Africa,MDG_0000000017
EMR,2007,16,NA,MDG_0000000017
LBR,2009,42,Africa,MDG_0000000017
GTM,2019,2.1,Americas,MDG_0000000017
TGO,2006,7.8,Africa,MDG_0000000017
YEM,2019,6.5,Eastern Mediterranean,MDG_0000000017
SWZ,2023,24,Africa,MDG_0000000017
QAT,2010,0.27,Eastern Mediterranean,MDG_0000000017
HRV,2003,3.8,Europe,MDG_0000000017
SLV,2019,0.97,Americas,MDG_0000000017
BRB,2005,0.71,Americas,MDG_0000000017
LAO,2020,19,Western Pacific,MDG_0000000017
ALB,2007,0.52,Europe,MDG_0000000017
PLW,2011,5.8,Western Pacific,MDG_0000000017
AFG,2013,43,Eastern Mediterranean,MDG_0000000017
AUT,2001,0.7,Europe,MDG_0000000017
MEX,2016,1.8,Americas,MDG_0000000017
ECU,2014,3.7,Americas,MDG_0000000017
SEAR,2009,44,NA,MDG_0000000017
EUR,2002,8.1,NA,MDG_0000000017
BIH,2006,5.2,Europe,MDG_0000000017
TJK,2021,7.9,Europe,MDG_0000000017
GMB,2013,25,Africa,MDG_0000000017
ECU,2005,8.1,Americas,MDG_0000000017
