country,year,value,region,indicator
SLV,2015,44.32049,Americas,MDG_0000000026
URY,1998,27.13089,Americas,MDG_0000000026
JOR,2011,47.06982,Eastern Mediterranean,MDG_0000000026
DNK,2016,5.47726,Europe,MDG_0000000026
SUR,2017,99.23462,Americas,MDG_0000000026
SVN,2010,6.03675,Europe,MDG_0000000026
SWZ,2018,218.30115,Africa,MDG_0000000026
CPV,2000,125.14381,Africa,MDG_0000000026
GNB,2007,844.71633,Africa,MDG_0000000026
IRL,2013,6.45713,Europe,MDG_0000000026
CRI,1999,39.0742,Americas,MDG_0000000026
SUR,1986,414.92459,Americas,MDG_0000000026
HTI,1996,490.6278,Americas,MDG_0000000026
BIH,1985,47.43705,Europe,MDG_0000000026
BLZ,2014,38.45723,Americas,MDG_0000000026
MWI,2013,472.59492,Africa,MDG_0000000026
SDN,2013,322.91,Eastern Mediterranean,MDG_0000000026
ISL,2019,3.12294,Europe,MDG_0000000026
EST,2001,22.34298,Europe,MDG_0000000026
BFA,2015,294.78294,Africa,MDG_0000000026
